Molocule,Wave_Number,Intensity ,A,gamma_air,gamma self,E'',n-air,delta - air,J',"J"""
12CH4,1245.13328,1.22E-27,0.0001522,0.054,0.07,1938.2347,0.65,-0.002,11,11
12CH4,1245.16946,9.41E-27,0.0004119,0.056,0.077,1521.2845,0.72,-0.002,6,6
12CH4,1245.18403,1.72E-24,0.4099,0.058,0.074,2008.943,0.67,-0.002,8,9
12CH4,1245.22,2.48E-20,2.013,0.058,0.076,470.8729,0.9,-0.0023,8,9
12CH4,1245.232,2.51E-24,0.0007273,0.053,0.068,689.8769,0.64,0,11,11
12CH4,1245.232,3.86E-24,0.001679,0.041,0.068,690.0397,0.64,0,11,11
12CH4,1245.23417,4.65E-25,0.1119,0.058,0.074,2010.3708,0.67,-0.002,8,9
12CH4,1245.26272,1.03E-26,0.003316,0.054,0.073,2114.1523,0.67,-0.002,10,10
12CH4,1245.29197,1.09E-26,0.00234,0.058,0.074,2010.3708,0.67,-0.002,9,9
12CH4,1245.3239,1.11E-25,0.01025,0.052,0.074,1729.7614,0.67,-0.002,8,9
12CH4,1245.32743,1.32E-26,0.004687,0.054,0.073,2114.0896,0.67,-0.002,9,10
12CH4,1245.34026,3.71E-26,0.00764,0.054,0.07,2040.54,0.65,-0.002,11,11
12CH4,1245.368,1.52E-24,0.0004407,0.053,0.068,690.0494,0.64,0,11,11
12CH4,1245.37786,1.98E-24,0.7134,0.052,0.074,2010.3134,0.67,-0.002,8,9
12CH4,1245.386,3.80E-24,0.001653,0.041,0.068,689.8863,0.64,0,11,11
12CH4,1245.401,7.95E-25,0.0002303,0.053,0.068,689.7077,0.64,0,11,11
12CH4,1245.405,8.98E-24,1.902,0.053,0.073,2112.1445,0.67,-0.002,9,10
12CH4,1245.41782,5.58E-25,0.05464,0.066,0.078,1694.6317,0.75,-0.002,4,5
12CH4,1245.42475,3.91E-26,0.01262,0.052,0.074,2010.3134,0.67,-0.002,9,9
12CH4,1245.46,1.31E-23,0.003805,0.053,0.068,689.9568,0.64,0,11,11
12CH4,1245.50263,1.55E-26,0.007438,0.045,0.073,2112.1343,0.67,-0.002,10,10
12CH4,1245.52682,4.14E-24,1.462,0.054,0.073,2112.1377,0.67,-0.002,9,10
12CH4,1245.54824,4.70E-27,0.0004853,0.054,0.073,1879.8893,0.67,-0.002,10,10
12CH4,1245.54936,3.40E-27,0.0006852,0.054,0.07,2035.9758,0.65,-0.002,11,11
12CH4,1245.64509,1.07E-27,0.0003465,0.054,0.073,2115.2581,0.67,-0.002,10,10
12CH4,1245.662,1.01E-25,1.87,0.066,0.079,2651.189,0.73,-0.002,2,3
12CH4,1245.66752,5.06E-25,0.03089,0.058,0.074,1728.1902,0.67,-0.002,8,9
12CH4,1245.67352,6.21E-23,4.06,0.058,0.075,1716.6343,0.72,-0.002,7,8
12CH4,1245.68272,1.85E-26,0.005922,0.054,0.073,2112.1377,0.67,-0.002,10,10
12CH4,1245.712,1.54E-25,4.45E-05,0.053,0.068,689.7054,0.64,0,11,11
12CH4,1245.71451,7.60E-24,1.826,0.058,0.074,2009.8906,0.67,-0.002,8,9
12CH4,1245.721,1.88E-25,6.076,0.06,0.076,2963.7245,0.7,-0.002,6,7
12CH4,1245.7397,3.72E-26,0.07052,0.047,0.065,2558.2781,0.65,-0.002,15,15
12CH4,1245.769,1.49E-20,2.013,0.0586,0.076,470.8651,0.95,-0.0029,8,9
12CH4,1245.77231,2.16E-25,0.04634,0.058,0.074,2009.8906,0.67,-0.002,9,9
12CH4,1245.83579,1.85E-26,0.003983,0.058,0.074,2009.9767,0.67,-0.002,9,9
12CH4,1245.85329,2.57E-24,1.363,0.045,0.073,2112.1343,0.67,-0.002,9,10
12CH4,1245.87285,3.92E-25,0.02177,0.058,0.075,1682.8883,0.72,-0.002,7,8
12CH4,1245.88784,7.11E-24,1.221,0.058,0.075,1915.0406,0.72,-0.002,7,8
12CH4,1245.914,3.01E-24,0.0004073,0.056,0.073,470.7203,0.65,0,8,9
12CH4,1245.91755,2.51E-25,0.02433,0.066,0.078,1692.6132,0.75,-0.002,4,5
12CH4,1245.93472,3.34E-24,0.2038,0.058,0.074,1728.1902,0.67,-0.002,8,9
12CH4,1245.956,1.12E-25,3.078,0.06,0.076,2930.3185,0.7,-0.002,6,7
12CH4,1246.00393,9.73E-27,0.0008905,0.052,0.074,1727.8448,0.67,-0.002,8,9
12CH4,1246.016,1.32E-29,8.37E-06,0.045,0.057,2400.2175,0.58,0,21,21
12CH4,1246.02388,6.64E-27,0.003792,0.054,0.07,2231.551,0.65,-0.002,10,11
12CH4,1246.032,1.44E-29,9.10E-06,0.045,0.057,2400.2019,0.58,0,21,21
12CH4,1246.049,1.76E-25,3.101,0.066,0.079,2641.2095,0.73,-0.002,2,3
12CH4,1246.06007,3.42E-27,0.0003469,0.054,0.073,1875.6461,0.67,-0.002,10,10
12CH4,1246.08149,1.21E-27,0.0001048,0.058,0.074,1822.8956,0.67,-0.002,9,9
12CH4,1246.11755,1.50E-26,0.0003118,0.061,0.077,1556.4817,0.72,-0.002,6,6
12CH4,1246.1379,2.17E-26,1.701,0.055,0.058,3381.3159,0.63,-0.002,20,20
12CH4,1246.138,2.17E-26,1.701,0.055,0.058,3381.3159,0.63,-0.002,20,20
12CH4,1246.1459,2.86E-27,0.007826,0.047,0.065,2620.3013,0.65,-0.002,14,15
12CH4,1246.1633,1.27E-26,0.001027,0.054,0.073,1828.8268,0.67,-0.002,10,10
12CH4,1246.16796,3.30E-23,1.003,0.064,0.077,1494.9482,0.72,-0.002,5,6
12CH4,1246.18463,2.13E-27,0.00106,0.044,0.065,2374.926,0.65,-0.002,14,14
12CH4,1246.18872,6.84E-27,0.00164,0.045,0.07,1988.3239,0.65,-0.002,11,11
12CH4,1246.202,1.57E-24,1.671,0.044,0.057,2620.9673,0.58,0,22,22
12CH4,1246.202,9.44E-25,1.671,0.044,0.057,2620.9673,0.58,0,22,22
12CH4,1246.202,6.29E-25,1.671,0.044,0.057,2620.9673,0.58,0,22,22
12CH4,1246.2047,1.51E-23,1.591,0.058,0.075,1919.6833,0.72,-0.002,7,8
12CH4,1246.22206,1.38E-27,0.001941,0.047,0.065,2468.8318,0.65,-0.002,13,14
12CH4,1246.2297,3.46E-27,0.0006965,0.054,0.07,2035.322,0.65,-0.002,11,11
12CH4,1246.303,1.09E-24,0.0003175,0.053,0.068,690.0494,0.64,0,11,11
12CH4,1246.31733,6.99E-24,1.802,0.052,0.075,1915.1595,0.72,-0.002,7,8
12CH4,1246.3183,1.54E-27,0.04642,0.028,0.06,3080.4067,0.63,-0.002,18,18
12CH4,1246.395,2.32E-23,0.006729,0.053,0.068,689.9568,0.64,0,11,11
12CH4,1246.40776,7.81E-26,0.04456,0.054,0.07,2231.095,0.65,-0.002,10,11
12CH4,1246.41692,6.17E-23,4.058,0.058,0.075,1717.3075,0.72,-0.002,7,8
12CH4,1246.44132,2.41E-23,0.7327,0.064,0.077,1494.9482,0.72,-0.002,5,6
12CH4,1246.446,3.47E-25,3.649,0.061,0.077,2802.5992,0.7,-0.002,5,6
12CH4,1246.453,1.48E-20,2.011,0.0592,0.077,470.855,0.9,-0.0026,8,9
12CH4,1246.47994,6.10E-23,1.853,0.064,0.077,1494.7229,0.72,-0.002,5,6
12CH4,1246.49923,2.34E-27,0.006069,0.047,0.065,2609.1831,0.65,-0.002,14,15
12CH4,1246.502,2.81E-23,0.003804,0.056,0.073,470.8053,0.65,0,8,9
12CH4,1246.50707,9.58E-27,0.002971,0.045,0.07,2041.075,0.65,-0.002,11,11
12CH4,1246.514,1.64E-23,0.004758,0.053,0.068,690.0176,0.64,0,11,11
12CH4,1246.57322,3.84E-25,0.01518,0.066,0.083,1386.3905,0.8,-0.002,2,3
12CH4,1246.57922,4.40E-26,0.008452,0.053,0.073,2112.1445,0.67,-0.002,10,10
12CH4,1246.591,3.00E-24,0.000407,0.056,0.073,470.717,0.65,0,8,9
12CH4,1246.636,2.02E-25,3.534,0.061,0.077,2802.5615,0.7,-0.002,5,6
12CH4,1246.647,1.57E-25,4.57E-05,0.053,0.068,689.7054,0.64,0,11,11
12CH4,1246.654,2.51E-24,0.0007284,0.053,0.068,689.8769,0.64,0,11,11
12CH4,1246.6594,1.57E-26,0.003043,0.045,0.073,1925.9155,0.67,-0.002,10,10
12CH4,1246.66528,9.88E-24,1.702,0.058,0.075,1915.3805,0.72,-0.002,7,8
12CH4,1246.70075,1.75E-25,0.01628,0.058,0.075,1919.9917,0.72,-0.002,8,8
12CH4,1246.73485,3.46E-26,0.00538,0.058,0.075,1919.9879,0.72,-0.002,8,8
12CH4,1246.73488,1.01E-24,0.05933,0.063,0.078,1694.5059,0.75,-0.002,4,5
12CH4,1246.73539,4.18E-24,0.7163,0.058,0.075,1914.1934,0.72,-0.002,7,8
12CH4,1246.75096,1.25E-25,0.04035,0.054,0.073,2114.1523,0.67,-0.002,10,10
12CH4,1246.758,9.10E-30,5.75E-06,0.045,0.057,2399.4756,0.59,-0.002,21,21
12CH4,1246.76075,3.27E-24,1.173,0.052,0.074,2008.9305,0.67,-0.002,8,9
12CH4,1246.77127,4.84E-27,0.0004495,0.058,0.074,1813.9717,0.67,-0.002,8,9
12CH4,1246.78121,6.89E-26,0.03927,0.054,0.07,2230.7937,0.65,-0.002,10,11
12CH4,1246.78163,1.35E-25,0.04363,0.054,0.073,2114.0896,0.67,-0.002,10,10
12CH4,1246.80491,1.65E-25,0.01592,0.066,0.078,1691.726,0.75,-0.002,4,5
12CH4,1246.80763,7.91E-26,0.02542,0.052,0.074,2008.9305,0.67,-0.002,9,9
12CH4,1246.824,1.15E-25,3.35E-05,0.053,0.068,689.7077,0.64,0,11,11
12CH4,1246.83677,3.25E-25,0.04044,0.054,0.07,1936.5312,0.65,-0.002,11,11
12CH4,1246.83976,5.15E-27,0.0002681,0.058,0.074,1822.7607,0.67,-0.002,9,9
12CH4,1246.86971,8.46E-26,0.01812,0.058,0.074,2008.943,0.67,-0.002,9,9
12CH4,1246.92648,1.79E-24,0.4257,0.058,0.074,2007.2007,0.67,-0.002,8,9
12CH4,1246.94751,1.61E-25,0.01572,0.066,0.078,1693.1021,0.75,-0.002,4,5
12CH4,1246.963,3.26E-28,0.000206,0.045,0.057,2399.2703,0.58,0,21,21
12CH4,1246.96697,8.49E-26,0.01318,0.058,0.075,1919.7559,0.72,-0.002,8,8
12CH4,1246.9807,6.21E-27,0.001988,0.054,0.073,2112.1377,0.67,-0.002,10,10
12CH4,1247.01726,3.04E-23,0.9225,0.064,0.077,1494.0989,0.72,-0.002,5,6
12CH4,1247.0229,1.52E-27,0.07253,0.039,0.06,3351.7617,0.63,-0.002,17,18
12CH4,1247.02762,1.34E-25,0.02085,0.058,0.075,1919.7257,0.72,-0.002,8,8
12CH4,1247.036,1.32E-25,2.103,0.063,0.077,2741.3894,0.72,-0.002,4,5
12CH4,1247.04246,1.90E-27,0.0001533,0.054,0.073,1828.8892,0.67,-0.002,10,10
12CH4,1247.06754,1.10E-24,0.2647,0.058,0.074,2009.9767,0.67,-0.002,8,9
12CH4,1247.078,2.98E-30,5.20E-05,0.042,0.056,3109.2908,0.57,-0.002,24,24
12CH4,1247.09,3.12E-30,5.45E-05,0.042,0.056,3109.2788,0.57,-0.002,24,24
12CH4,1247.10053,2.49E-25,0.02323,0.058,0.075,1919.6833,0.72,-0.002,8,8
12CH4,1247.10695,1.05E-25,0.01329,0.054,0.073,1920.3066,0.67,-0.002,10,10
12CH4,1247.12,2.27E-25,6.443,0.058,0.074,3070.3576,0.69,-0.002,7,8
12CH4,1247.15477,2.63E-25,0.03268,0.054,0.07,1936.3521,0.65,-0.002,11,11
12CH4,1247.16846,8.95E-27,0.0003093,0.064,0.077,1555.3929,0.72,-0.002,6,6
12CH4,1247.23567,1.79E-27,0.0003648,0.052,0.074,1915.1595,0.67,-0.002,9,8
12CH4,1247.238,1.36E-25,6.451,0.058,0.074,3070.6168,0.69,-0.002,7,8
12CH4,1247.24049,1.24E-24,0.1134,0.052,0.074,1727.8448,0.67,-0.002,8,9
12CH4,1247.255,4.26E-28,0.0002687,0.045,0.057,2398.9785,0.58,0,21,21
12CH4,1247.27957,2.26E-25,0.07993,0.054,0.073,2112.1377,0.67,-0.002,9,10
12CH4,1247.28323,4.08E-26,0.07712,0.047,0.065,2557.4878,0.65,-0.002,15,15
12CH4,1247.29061,3.83E-23,1.162,0.064,0.077,1494.0989,0.72,-0.002,5,6
12CH4,1247.30871,5.68E-26,0.00168,0.066,0.078,1488.913,0.75,-0.002,5,5
12CH4,1247.319,3.10E-25,6.125,0.06,0.076,2966.5155,0.7,-0.002,6,7
12CH4,1247.3357,8.74E-27,0.001135,0.054,0.073,1926.3031,0.67,-0.002,10,10
12CH4,1247.40992,1.23E-27,8.56E-05,0.058,0.074,1776.6909,0.67,-0.002,9,9
12CH4,1247.41616,8.22E-27,0.001775,0.058,0.074,2010.3708,0.67,-0.002,9,9
12CH4,1247.4251,1.04E-27,0.004432,0.047,0.063,2724.7734,0.63,-0.002,15,16
12CH4,1247.431,3.21E-23,1.787,0.058,0.075,1682.8883,0.72,-0.002,7,8
12CH4,1247.44728,4.28E-23,1.946,0.056,0.077,1494.1963,0.72,-0.002,5,6
12CH4,1247.468,4.21E-30,0.003133,0.041,0.055,3904.708,0.57,-0.002,27,27
12CH4,1247.4734,3.14E-25,0.02671,0.058,0.074,1818.5219,0.67,-0.002,9,9
