Molocule,Wave_Number,Intensity ,A,gamma_air,gamma self,E'',n-air,delta - air,J',"J"""
12CH4,1248.3117,6.05E-26,0.007755,0.054,0.073,1923.4122,0.67,-0.002,10,10
12CH4,1248.331,1.01E-22,0.01763,0.0543,0.06,689.8623,1.04,-0.002,11,11
12CH4,1248.358,5.35E-23,0.01559,0.0629,0.068,689.8769,1.28,-0.002,11,11
12CH4,1248.368,3.43E-23,0.01501,0.041,0.068,689.8863,0.64,0,11,11
12CH4,1248.3808,1.64E-24,0.09801,0.061,0.083,1387.4005,0.8,-0.002,2,3
12CH4,1248.38492,4.17E-27,0.0006498,0.058,0.075,1919.9879,0.72,-0.002,8,8
12CH4,1248.39805,5.54E-26,0.01319,0.058,0.074,2007.2073,0.67,-0.002,8,9
12CH4,1248.40005,1.49E-25,0.01448,0.066,0.078,1691.6497,0.75,-0.002,4,5
12CH4,1248.404,1.40E-30,8.77E-07,0.045,0.057,2397.8298,0.59,-0.002,21,21
12CH4,1248.426,1.25E-30,7.88E-07,0.045,0.057,2397.8074,0.59,-0.002,21,21
12CH4,1248.436,7.51E-30,0.005569,0.041,0.055,3903.7407,0.57,-0.002,27,27
12CH4,1248.4427,3.76E-26,1.744,0.039,0.059,3367.5361,0.63,-0.002,19,19
12CH4,1248.45586,1.67E-27,0.0003564,0.058,0.074,2007.2073,0.67,-0.002,9,9
12CH4,1248.464,6.01E-29,0.001045,0.042,0.056,3107.9043,0.57,-0.002,24,24
12CH4,1248.47638,2.41E-25,0.01774,0.058,0.074,1765.9297,0.67,-0.002,8,9
12CH4,1248.49058,3.18E-25,0.04101,0.058,0.074,2008.9677,0.67,-0.002,9,9
12CH4,1248.5226,3.23E-26,0.03129,0.051,0.068,2357.9048,0.65,-0.002,11,12
12CH4,1248.527,9.63E-26,2.81E-05,0.053,0.068,689.7077,0.64,0,11,11
12CH4,1248.61217,2.73E-26,0.005822,0.058,0.074,2007.2007,0.67,-0.002,9,9
12CH4,1248.61253,2.33E-24,0.06562,0.066,0.078,1437.3214,0.75,-0.002,4,5
12CH4,1248.61705,4.78E-27,0.0007435,0.058,0.075,1919.7559,0.72,-0.002,8,8
12CH4,1248.63952,8.70E-26,0.006999,0.054,0.073,1827.2921,0.67,-0.002,10,10
12CH4,1248.65207,1.51E-26,0.001212,0.054,0.073,1826.338,0.67,-0.002,10,10
12CH4,1248.65961,2.28E-25,0.05505,0.058,0.074,2010.3708,0.67,-0.002,8,9
12CH4,1248.66562,6.09E-26,0.01309,0.058,0.074,2008.943,0.67,-0.002,9,9
12CH4,1248.67428,6.79E-25,0.06586,0.066,0.079,1639.8813,0.8,-0.002,3,4
12CH4,1248.6849,1.44E-26,1.116,0.0485,0.059,3367.5359,0.63,-0.002,19,19
