"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.227579583E-1,-6.898345947E0,-2.657044220E1,-3.916607666E1,4.782841348E1
7.328209584E-1,-6.914367676E0,-2.645568085E1,-3.945486450E1,4.800414422E1
7.428839584E-1,-6.827728271E0,-2.632881546E1,-3.976657104E1,4.817888095E1
7.529469583E-1,-6.648239136E0,-2.639636612E1,-3.954205322E1,4.800563718E1
7.630109583E-1,-6.880073547E0,-2.627896881E1,-3.965121460E1,4.806389948E1
7.730739583E-1,-7.201591492E0,-2.598826599E1,-3.953311157E1,4.785519616E1
7.831369584E-1,-7.039939880E0,-2.603111649E1,-3.953652954E1,4.785725595E1
7.931999584E-1,-6.990257263E0,-2.620780563E1,-3.960607910E1,4.800369022E1
8.032629583E-1,-6.892486572E0,-2.630556488E1,-3.956970215E1,4.801302368E1
8.133269583E-1,-7.217590332E0,-2.625262070E1,-3.969186401E1,4.813250225E1
8.233899584E-1,-7.052024841E0,-2.632868195E1,-3.944857788E1,4.794914852E1
8.334529584E-1,-7.254409790E0,-2.606969070E1,-3.909820557E1,4.754918415E1
8.435159584E-1,-7.073791504E0,-2.610197067E1,-3.945172119E1,4.783084469E1
8.535789583E-1,-6.945930481E0,-2.599169540E1,-3.939709473E1,4.770686799E1
8.636419583E-1,-7.181861877E0,-2.618466568E1,-3.939892578E1,4.784862808E1
8.737059584E-1,-6.957382202E0,-2.626616669E1,-3.958825684E1,4.801610937E1
8.837689584E-1,-6.864738464E0,-2.630142593E1,-3.943072510E1,4.789229293E1
8.938319583E-1,-7.006500244E0,-2.626421738E1,-3.944967651E1,4.790800703E1
9.038949583E-1,-6.947990417E0,-2.616529465E1,-3.977392578E1,4.811301681E1
9.139579583E-1,-6.820289612E0,-2.638219452E1,-3.971765137E1,4.816667280E1
9.240219584E-1,-6.899574280E0,-2.644926071E1,-3.976092529E1,4.825037510E1
9.340849584E-1,-6.937271118E0,-2.619533157E1,-3.969149780E1,4.805971415E1
9.441479583E-1,-6.825859070E0,-2.619478989E1,-3.987515259E1,4.819530229E1
9.542109583E-1,-6.646812439E0,-2.618304062E1,-3.993005371E1,4.820934475E1
9.642739584E-1,-6.552406311E0,-2.637749481E1,-3.989883423E1,4.827652881E1
9.743379584E-1,-6.600341797E0,-2.638799667E1,-3.993759155E1,4.832082470E1
9.844009584E-1,-6.872268677E0,-2.632181168E1,-3.965505981E1,4.808939192E1
9.944639583E-1,-6.819290161E0,-2.619550705E1,-3.946688843E1,4.785752386E1
1.004526958E0,-6.812072754E0,-2.636737823E1,-3.986648560E1,4.828022001E1
1.014589958E0,-6.891784668E0,-2.631491470E1,-3.961416626E1,4.805469384E1
1.024652958E0,-6.951713562E0,-2.630833435E1,-3.953863525E1,4.799748385E1
1.034716958E0,-7.118484497E0,-2.610281372E1,-3.949179077E1,4.787098541E1
1.044779958E0,-6.988914490E0,-2.612549210E1,-3.949154663E1,4.786406291E1
1.054846458E0,-6.962905884E0,-2.617789078E1,-3.940130615E1,4.781450565E1
1.064909458E0,-6.974365234E0,-2.625117111E1,-3.948220825E1,4.792296447E1
1.074972458E0,-6.952934265E0,-2.618929672E1,-3.947473145E1,4.787981809E1
1.085036458E0,-6.872184753E0,-2.654153061E1,-3.967407227E1,4.822563406E1
1.095099458E0,-6.915496826E0,-2.627617264E1,-3.962893677E1,4.804907881E1
1.105162458E0,-7.087882996E0,-2.631428146E1,-3.959329224E1,4.806566638E1
1.115225458E0,-6.883407593E0,-2.590855408E1,-3.949606323E1,4.773440568E1
1.125288458E0,-6.825538635E0,-2.594532394E1,-3.978210449E1,4.798295166E1
1.135352458E0,-7.036941528E0,-2.606361771E1,-3.994757080E1,4.821451158E1
1.145415458E0,-6.996429443E0,-2.625138474E1,-3.988101196E1,4.825536593E1
1.155478458E0,-7.139572144E0,-2.618569946E1,-3.998657227E1,4.832794542E1
1.165541458E0,-6.895881653E0,-2.633667374E1,-4.001739502E1,4.840005652E1
1.175604458E0,-7.119293213E0,-2.648444748E1,-3.989828491E1,4.841470265E1
1.185667458E0,-7.063346863E0,-2.599493790E1,-3.985177612E1,4.810188900E1
1.195731458E0,-7.085006714E0,-2.611864090E1,-3.989135742E1,4.820478316E1
1.205794458E0,-6.916870117E0,-2.638115311E1,-3.976101685E1,4.821562809E1
1.215857458E0,-7.044403076E0,-2.631908798E1,-3.971847534E1,4.816508373E1
1.225920458E0,-7.034614563E0,-2.641754913E1,-3.960223389E1,4.812182076E1
1.235983458E0,-6.666633606E0,-2.624678040E1,-4.001617432E1,4.831802657E1
1.246047458E0,-6.582397461E0,-2.614459991E1,-3.969372559E1,4.798395473E1
1.256110458E0,-6.903350830E0,-2.642530441E1,-3.958636475E1,4.809400420E1
1.266173458E0,-6.768829346E0,-2.624833298E1,-3.954629517E1,4.794477548E1
1.276236458E0,-6.829238892E0,-2.622301483E1,-3.965478516E1,4.802902244E1
1.286299458E0,-6.852088928E0,-2.626827240E1,-3.967773438E1,4.807593850E1
1.296363458E0,-6.879470825E0,-2.635475922E1,-3.976242065E1,4.819699730E1
1.306426458E0,-6.768913269E0,-2.658908081E1,-3.962408447E1,4.819611473E1
1.316489458E0,-6.631996155E0,-2.663175583E1,-3.959359741E1,4.817558248E1
1.326552458E0,-6.904380798E0,-2.634544754E1,-3.955285645E1,4.802271893E1
1.336615458E0,-6.883026123E0,-2.638441086E1,-3.993161011E1,4.835335222E1
1.346678458E0,-6.611968994E0,-2.662047577E1,-3.989691162E1,4.841623097E1
1.356742458E0,-6.761711121E0,-2.650616455E1,-3.946813965E1,4.802115725E1
1.366805458E0,-7.029586792E0,-2.636797333E1,-3.978417969E1,4.824381889E1
1.376868458E0,-7.031379700E0,-2.652292633E1,-3.998672485E1,4.849581514E1
1.386931458E0,-7.049377441E0,-2.662427139E1,-3.997625732E1,4.854530563E1
1.396994458E0,-7.044845581E0,-2.644995499E1,-4.004690552E1,4.850757270E1
1.407058458E0,-6.869827271E0,-2.661537933E1,-4.026687622E1,4.875442815E1
1.417121458E0,-7.061759949E0,-2.670569992E1,-4.012478638E1,4.871407747E1
1.427184458E0,-6.957099915E0,-2.674989700E1,-3.965136719E1,4.833414061E1
1.437247458E0,-7.127380371E0,-2.652831650E1,-3.977023315E1,4.833448637E1
1.447310458E0,-6.972282410E0,-2.669889832E1,-3.977816772E1,4.841225589E1
1.457374458E0,-7.077209473E0,-2.669966888E1,-3.951870728E1,4.821501257E1
1.467437458E0,-7.019187927E0,-2.653431320E1,-3.972586060E1,4.828543027E1
1.477500458E0,-7.027153015E0,-2.644021606E1,-3.993618774E1,4.840831537E1
1.487563458E0,-7.138999939E0,-2.646773148E1,-3.980456543E1,4.833124826E1
1.497626458E0,-7.187873840E0,-2.634851074E1,-3.996875000E1,4.840878562E1
1.507690458E0,-7.242805481E0,-2.613228226E1,-3.986141968E1,4.821086170E1
1.517753458E0,-7.116500854E0,-2.598105621E1,-3.958984375E1,4.788544241E1
1.527816458E0,-7.308731079E0,-2.648695755E1,-3.951495361E1,4.812907676E1
1.537879458E0,-7.428405762E0,-2.636448288E1,-3.963436890E1,4.817831844E1
1.547942458E0,-7.188011169E0,-2.642922211E1,-3.972045898E1,4.824817248E1
1.558006458E0,-7.279342651E0,-2.645864105E1,-3.994723511E1,4.846473056E1
1.568069458E0,-7.064971924E0,-2.629227066E1,-4.005392456E1,4.843050895E1
1.578132458E0,-7.182121277E0,-2.645843506E1,-3.989144897E1,4.840412537E1
1.588195458E0,-7.091163635E0,-2.638905716E1,-3.991854858E1,4.837517401E1
1.598258458E0,-7.118034363E0,-2.671223831E1,-4.003573608E1,4.865254621E1
1.608321458E0,-7.023803711E0,-2.676128769E1,-4.022738647E1,4.882359020E1
1.618385458E0,-7.115425110E0,-2.659819031E1,-4.017868042E1,4.870748774E1
1.628448458E0,-7.280776978E0,-2.648851013E1,-4.008068848E1,4.859127979E1
1.638511458E0,-7.425392151E0,-2.646964264E1,-3.995388794E1,4.849836690E1
1.648574458E0,-7.319908142E0,-2.648989105E1,-4.009875488E1,4.861281237E1
