"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.750129170E-2,-1.679461670E1,-1.708985138E1,-3.619531250E1,4.340763547E1
2.756429173E-2,-1.667344666E1,-1.715103149E1,-3.608758545E1,4.329521369E1
3.762729175E-2,-1.671428680E1,-1.724944305E1,-3.624575806E1,4.348178522E1
4.768929176E-2,-1.664707184E1,-1.748183441E1,-3.658474731E1,4.383130469E1
5.775229167E-2,-1.664179230E1,-1.733055878E1,-3.631869507E1,4.354704502E1
6.781529170E-2,-1.669930267E1,-1.689286041E1,-3.623876953E1,4.332994184E1
7.787829172E-2,-1.646187592E1,-1.714386368E1,-3.631011963E1,4.339735255E1
8.794129174E-2,-1.668120575E1,-1.693724823E1,-3.619833374E1,4.330649337E1
9.800429177E-2,-1.642023468E1,-1.686406708E1,-3.607394409E1,4.307377750E1
1.080672917E-1,-1.658120728E1,-1.676359558E1,-3.617590332E1,4.318159970E1
1.181302917E-1,-1.626038361E1,-1.662969589E1,-3.629312134E1,4.310611925E1
1.281922917E-1,-1.635737610E1,-1.672720718E1,-3.630343628E1,4.318915024E1
1.382552917E-1,-1.647082520E1,-1.654663849E1,-3.642654419E1,4.326629692E1
1.483182918E-1,-1.652955627E1,-1.671830368E1,-3.633316040E1,4.327616496E1
1.583812917E-1,-1.670572662E1,-1.652354813E1,-3.645129395E1,4.336825769E1
1.684442917E-1,-1.677347565E1,-1.663488388E1,-3.651876831E1,4.349355453E1
1.785072917E-1,-1.670990753E1,-1.669384766E1,-3.647470093E1,4.345468176E1
1.885702917E-1,-1.668064880E1,-1.668066788E1,-3.608813477E1,4.311429225E1
1.986332918E-1,-1.638520813E1,-1.670538330E1,-3.590267944E1,4.285495616E1
2.086962917E-1,-1.635018158E1,-1.672837830E1,-3.626464844E1,4.315427910E1
2.187582917E-1,-1.636722565E1,-1.689986420E1,-3.644760132E1,4.338109182E1
2.288212917E-1,-1.609754181E1,-1.676633072E1,-3.613092041E1,4.296142581E1
2.388842917E-1,-1.633610535E1,-1.660301971E1,-3.601626587E1,4.289172424E1
2.489472918E-1,-1.607191467E1,-1.666052628E1,-3.645593262E1,4.318465700E1
2.590102917E-1,-1.608126831E1,-1.675728989E1,-3.633297729E1,4.312191083E1
2.690732917E-1,-1.599805450E1,-1.650707245E1,-3.659695435E1,4.321756884E1
2.791362917E-1,-1.591812134E1,-1.671602631E1,-3.648138428E1,4.317063262E1
2.891992917E-1,-1.601979065E1,-1.670955276E1,-3.622491455E1,4.298938567E1
2.992612917E-1,-1.597194672E1,-1.685773849E1,-3.628479004E1,4.307983771E1
3.093242918E-1,-1.639003754E1,-1.676760101E1,-3.662020874E1,4.348362292E1
3.193872917E-1,-1.627662659E1,-1.685501480E1,-3.666094971E1,4.350914077E1
3.294502917E-1,-1.633242035E1,-1.685443878E1,-3.657196045E1,4.345490021E1
3.395132917E-1,-1.607128143E1,-1.700946808E1,-3.645254517E1,4.331738843E1
3.495762917E-1,-1.603706360E1,-1.683626556E1,-3.629916382E1,4.310773180E1
3.596392918E-1,-1.597938538E1,-1.660723877E1,-3.642260742E1,4.310159473E1
3.697022917E-1,-1.580648804E1,-1.677194595E1,-3.634796143E1,4.303855870E1
3.797652917E-1,-1.560158539E1,-1.713114929E1,-3.644577026E1,4.318772873E1
3.898272917E-1,-1.558960724E1,-1.724615479E1,-3.610006714E1,4.293810145E1
3.998902917E-1,-1.479888153E1,-1.725933075E1,-3.657046509E1,4.306147128E1
4.099532918E-1,-1.470906830E1,-1.718546295E1,-3.655865479E1,4.299106962E1
4.200162917E-1,-1.461198425E1,-1.755480576E1,-3.642367554E1,4.299262063E1
4.300792917E-1,-1.465821075E1,-1.726917648E1,-3.648959351E1,4.294855100E1
4.401422917E-1,-1.452354431E1,-1.751698685E1,-3.677648926E1,4.324683028E1
4.502052917E-1,-1.445220947E1,-1.743886566E1,-3.703594971E1,4.341246324E1
4.602682918E-1,-1.433623505E1,-1.735942841E1,-3.640359497E1,4.280302696E1
4.703302917E-1,-1.419682312E1,-1.722078323E1,-3.648339844E1,4.276848750E1
4.803932917E-1,-1.415146637E1,-1.736557388E1,-3.665411377E1,4.295755129E1
4.904562917E-1,-1.443769073E1,-1.743813705E1,-3.670993042E1,4.312950880E1
5.005192917E-1,-1.404236603E1,-1.728847504E1,-3.693194580E1,4.312827418E1
5.105822918E-1,-1.392726135E1,-1.724679947E1,-3.693856812E1,4.307990849E1
5.206452917E-1,-1.385662079E1,-1.728516006E1,-3.708578491E1,4.319882106E1
5.307082917E-1,-1.342115784E1,-1.739599228E1,-3.694616699E1,4.298566366E1
5.407712917E-1,-1.337571716E1,-1.684747314E1,-3.695062256E1,4.275623543E1
5.508332917E-1,-1.305602264E1,-1.707483673E1,-3.740081787E1,4.313734987E1
5.608962917E-1,-1.292276764E1,-1.706900787E1,-3.732348633E1,4.302780014E1
5.709601251E-1,-1.267916870E1,-1.683824539E1,-3.719372559E1,4.275115261E1
5.810231251E-1,-1.249501801E1,-1.702805710E1,-3.725390625E1,4.282445253E1
5.910861250E-1,-1.227317047E1,-1.701326370E1,-3.775729370E1,4.319369263E1
6.011491250E-1,-1.245008850E1,-1.707624054E1,-3.774447632E1,4.325792629E1
6.112121250E-1,-1.234094238E1,-1.720479965E1,-3.752914429E1,4.308991368E1
