Callisto_Wave_Number,Callisto_Spectrum,Callisto_Noise,Titan_Wave_Number,Titan_Spectrum,Titan_Noise
1243.593232,0,0,1243.592988,0,0
1243.597378,0,0,1243.597134,0,0
1243.601525,0,0,1243.60128,0,0
1243.605671,0,0,1243.605427,0,0
1243.609817,0,0,1243.609573,0,0
1243.613964,0,0,1243.613719,0,0
1243.61811,0,0,1243.617866,0,0
1243.622256,0,0,1243.622012,0,0
1243.626403,0,0,1243.626158,0,0
1243.630549,0,0,1243.630305,0,0
1243.634695,0,0,1243.634451,0,0
1243.638842,0,0,1243.638597,0,0
1243.642988,0,0,1243.642744,0,0
1243.647134,0,0,1243.64689,0,0
1243.651281,0,0,1243.651036,0,0
1243.655427,0,0,1243.655183,0,0
1243.659573,0,0,1243.659329,0,0
1243.66372,0,0,1243.663475,0,0
1243.667866,0,0,1243.667622,0,0
1243.672012,0,0,1243.671768,0,0
1243.676159,0,0,1243.675914,0,0
1243.680305,0,0,1243.680061,0,0
1243.684451,0,0,1243.684207,0,0
1243.688598,0,0,1243.688353,0,0
1243.692744,0,0,1243.6925,0,0
1243.69689,0,0,1243.696646,0,0
1243.701037,0,0,1243.700792,0,0
1243.705183,0,0,1243.704939,0,0
1243.709329,0,0,1243.709085,0,0
1243.713476,0,0,1243.713231,0,0
1243.717622,0,0,1243.717378,0,0
1243.721768,0,0,1243.721524,0,0
1243.725915,0,0,1243.72567,0,0
1243.730061,0,0,1243.729817,0,0
1243.734207,0,0,1243.733963,0,0
1243.738354,0,0,1243.738109,0,0
1243.7425,0,0,1243.742256,0,0
1243.746646,0,0,1243.746402,0,0
1243.750793,0,0,1243.750548,0,0
1243.754939,0,0,1243.754695,0,0
1243.759085,0,0,1243.758841,0,0
1243.763232,0,0,1243.762987,0,0
1243.767378,0,0,1243.767134,0,0
1243.771524,0,0,1243.77128,0,0
1243.775671,0,0,1243.775426,0,0
1243.779817,0,0,1243.779573,0,0
1243.783963,0,0,1243.783719,0,0
1243.78811,0,0,1243.787865,0,0
1243.792256,0,0,1243.792012,0,0
1243.796402,0,0,1243.796158,0,0
1243.800549,0,0,1243.800304,0,0
1243.804695,0,0,1243.804451,0,0
1243.808841,0,0,1243.808597,0,0
1243.812988,0,0,1243.812743,0,0
1243.817134,0,0,1243.81689,0,0
1243.82128,0,0,1243.821036,0,0
1243.825427,0,0,1243.825182,0,0
1243.829573,0,0,1243.829329,0,0
1243.833719,0,0,1243.833475,0,0
1243.837866,0,0,1243.837621,0,0
1243.842012,0,0,1243.841768,0,0
1243.846158,0,0,1243.845914,0,0
1243.850305,0,0,1243.85006,0,0
1243.854451,0,0,1243.854207,0,0
1243.858597,0,0,1243.858353,0,0
1243.862744,0,0,1243.862499,0,0
1243.86689,0,0,1243.866646,0,0
1243.871036,0,0,1243.870792,0,0
1243.875183,0,0,1243.874938,0,0
1243.879329,0,0,1243.879085,0,0
1243.883475,0,0,1243.883231,0,0
1243.887622,0,0,1243.887377,0,0
1243.891768,0,0,1243.891524,0,0
1243.895914,0,0,1243.89567,0,0
1243.900061,0,0,1243.899816,0,0
1243.904207,0,0,1243.903963,0,0
1243.908353,0,0,1243.908109,0,0
1243.9125,0,0,1243.912255,0,0
1243.916646,0,0,1243.916402,0,0
1243.920792,0,0,1243.920548,0,0
1243.924939,0,0,1243.924694,0,0
1243.929085,0,0,1243.928841,0,0
1243.933231,0,0,1243.932987,0,0
1243.937378,0,0,1243.937133,0,0
1243.941524,0,0,1243.94128,0,0
1243.94567,0,0,1243.945426,0,0
1243.949817,0,0,1243.949572,0,0
1243.953963,0,0,1243.953719,0,0
1243.958109,0,0,1243.957865,0,0
1243.962256,0,0,1243.962011,0,0
1243.966402,0,0,1243.966158,0,0
1243.970548,0,0,1243.970304,0,0
1243.974695,0,0,1243.97445,0,0
1243.978841,0,0,1243.978597,0,0
1243.982987,0,0,1243.982743,0,0
1243.987134,0,0,1243.986889,0,0
1243.99128,0,0,1243.991036,0,0
1243.995426,0,0,1243.995182,0,0
1243.999573,0,0,1243.999328,0,0
1244.003719,0,0,1244.003475,0,0
1244.007865,0,0,1244.007621,0,0
1244.012012,0,0,1244.011767,0,0
1244.016158,0,0,1244.015914,0,0
1244.020304,0,0,1244.02006,0,0
1244.024451,0,0,1244.024206,0,0
1244.028597,0,0,1244.028353,0,0
1244.032743,0,0,1244.032499,0,0
1244.03689,0,0,1244.036645,0,0
1244.041036,0,0,1244.040792,0,0
1244.045182,0,0,1244.044938,0,0
1244.049329,0,0,1244.049084,0,0
1244.053475,0,0,1244.053231,0,0
1244.057621,0,0,1244.057377,0,0
1244.061768,0,0,1244.061523,0,0
1244.065914,0,0,1244.06567,0,0
1244.07006,0,0,1244.069816,0,0
1244.074207,0,0,1244.073962,0,0
1244.078353,0,0,1244.078109,0,0
1244.082499,0,0,1244.082255,0,0
1244.086646,0,0,1244.086401,0,0
1244.090792,0,0,1244.090548,0,0
1244.094938,0,0,1244.094694,0,0
1244.099085,0,0,1244.09884,0,0
1244.103231,0,0,1244.102987,0,0
1244.107377,0,0,1244.107133,0,0
1244.111524,0,0,1244.111279,0,0
1244.11567,0,0,1244.115426,0,0
1244.119816,0,0,1244.119572,0,0
1244.123963,0,0,1244.123718,0,0
1244.128109,0,0,1244.127865,0,0
1244.132255,0,0,1244.132011,0,0
1244.136402,0,0,1244.136157,0,0
1244.140548,0,0,1244.140304,0,0
1244.144694,0,0,1244.14445,0,0
1244.148841,0,0,1244.148596,0,0
1244.152987,0,0,1244.152743,0,0
1244.157133,0,0,1244.156889,0,0
1244.16128,0,0,1244.161035,0,0
1244.165426,0,0,1244.165182,0,0
1244.169572,0,0,1244.169328,0,0
1244.173719,0,0,1244.173474,0,0
1244.177865,0,0,1244.177621,0,0
1244.182011,0,0,1244.181767,0,0
1244.186158,0,0,1244.185913,0,0
1244.190304,0,0,1244.19006,0,0
1244.19445,0,0,1244.194206,0,0
1244.198597,0,0,1244.198352,0,0
1244.202743,0,0,1244.202499,0,0
1244.206889,0,0,1244.206645,0,0
1244.211036,0,0,1244.210791,0,0
1244.215182,0,0,1244.214938,0,0
1244.219328,0,0,1244.219084,0,0
1244.223475,0,0,1244.22323,0,0
1244.227621,0,0,1244.227377,0,0
1244.231767,0,0,1244.231523,0,0
1244.235914,0,0,1244.235669,0,0
1244.24006,0,0,1244.239816,0,0
1244.244206,0,0,1244.243962,0,0
1244.248353,0,0,1244.248108,0,0
1244.252499,0,0,1244.252255,0,0
1244.256645,0,0,1244.256401,0,0
1244.260792,0,0,1244.260547,0,0
1244.264938,0,0,1244.264694,0,0
1244.269084,0,0,1244.26884,0,0
1244.273231,0,0,1244.272986,0,0
1244.277377,0,0,1244.277133,0,0
1244.281523,0,0,1244.281279,0,0
1244.28567,0,0,1244.285425,0,0
1244.289816,0,0,1244.289572,0,0
1244.293962,0,0,1244.293718,0,0
1244.298109,0,0,1244.297864,0,0
1244.302255,0,0,1244.302011,0,0
1244.306401,0,0,1244.306157,0,0
1244.310548,0,0,1244.310303,0,0
1244.314694,0,0,1244.31445,0,0
1244.31884,0,0,1244.318596,0,0
1244.322987,0,0,1244.322742,0,0
1244.327133,0,0,1244.326889,0,0
1244.331279,0,0,1244.331035,0,0
1244.335426,0,0,1244.335181,0,0
1244.339572,0,0,1244.339328,0,0
1244.343718,0,0,1244.343474,0,0
1244.347865,0,0,1244.34762,0,0
1244.352011,0,0,1244.351767,0,0
1244.356157,0,0,1244.355913,0,0
1244.360304,0,0,1244.360059,0,0
1244.36445,0,0,1244.364206,0,0
1244.368596,0,0,1244.368352,0,0
1244.372743,0,0,1244.372498,0,0
1244.376889,0,0,1244.376645,0,0
1244.381035,0,0,1244.380791,0,0
1244.385182,0,0,1244.384937,0,0
1244.389328,0,0,1244.389084,0,0
1244.393474,0,0,1244.39323,0,0
1244.397621,0,0,1244.397376,0,0
1244.401767,0,0,1244.401523,0,0
1244.405913,0,0,1244.405669,0,0
1244.41006,0,0,1244.409815,0,0
1244.414206,0,0,1244.413962,0,0
1244.418352,0,0,1244.418108,0,0
1244.422499,0,0,1244.422254,0,0
1244.426645,0,0,1244.426401,0,0
1244.430791,0,0,1244.430547,0,0
1244.434938,0,0,1244.434693,0,0
1244.439084,0,0,1244.43884,0,0
1244.44323,0,0,1244.442986,0,0
1244.447377,0,0,1244.447132,0,0
1244.451523,0,0,1244.451279,0,0
1244.455669,0,0,1244.455425,0,0
1244.459816,0,0,1244.459571,0,0
1244.463962,0,0,1244.463718,0,0
1244.468108,0,0,1244.467864,0,0
1244.472255,0,0,1244.47201,0,0
1244.476401,0,0,1244.476157,0,0
1244.480547,0,0,1244.480303,0,0
1244.484694,0,0,1244.484449,0,0
1244.48884,0,0,1244.488596,0,0
1244.492986,0,0,1244.492742,0,0
1244.497133,0,0,1244.496888,0,0
1244.501279,0,0,1244.501035,0,0
1244.505425,0,0,1244.505181,0,0
1244.509572,0,0,1244.509327,0,0
1244.513718,0,0,1244.513474,0,0
1244.517864,0,0,1244.51762,0,0
1244.522011,0,0,1244.521766,0,0
1244.526157,0,0,1244.525913,0,0
1244.530303,0,0,1244.530059,0,0
1244.53445,0,0,1244.534205,0,0
1244.538596,0,0,1244.538352,0,0
1244.542742,0,0,1244.542498,0,0
1244.546889,0,0,1244.546644,0,0
1244.551035,17.1296,11.16,1244.550791,0,0
1244.555181,4.13568,10.6416,1244.554937,-2.15183,2.94983
1244.559328,21.9624,10.2629,1244.559083,3.09129,2.85058
1244.563474,1.59148,10.0778,1244.56323,0.146601,2.7437
1244.56762,9.59687,9.60984,1244.567376,3.54346,2.64882
1244.571767,12.8262,9.29919,1244.571522,-1.5245,2.56763
1244.575913,10.674,8.91882,1244.575669,1.12735,2.46808
1244.580059,12.5791,8.63942,1244.579815,3.31554,2.36557
1244.584206,13.394,8.35242,1244.583961,-0.0249622,2.2845
1244.588352,7.04578,8.04451,1244.588108,2.13667,2.20836
1244.592498,19.6801,7.74651,1244.592254,1.08091,2.13512
1244.596645,15.8645,7.52556,1244.5964,-2.00839,2.0717
1244.600791,11.1315,7.29008,1244.600547,-1.2344,2.00951
1244.604937,12.8893,7.03591,1244.604693,-1.23003,1.93964
1244.609084,8.20102,6.84338,1244.608839,0.0227159,1.87756
1244.61323,5.52338,6.65505,1244.612986,1.7562,1.8241
1244.617376,12.038,6.46758,1244.617132,0.821203,1.77823
1244.621523,11.4891,6.28035,1244.621278,1.32564,1.73121
1244.625669,21.4569,6.16832,1244.625425,1.21513,1.69125
1244.629815,21.4216,6.01175,1244.629571,1.97855,1.65362
1244.633962,14.4955,5.88536,1244.633717,1.16586,1.61647
1244.638108,10.4496,5.77018,1244.637864,-0.174434,1.58305
1244.642254,10.3716,5.64783,1244.64201,-2.11005,1.55422
1244.646401,18.7019,5.56734,1244.646156,-0.914901,1.52487
1244.650547,12.317,5.45624,1244.650303,1.86349,1.49938
1244.654693,15.6403,5.37814,1244.654449,-0.738067,1.47785
1244.65884,9.32819,5.30047,1244.658595,0.273202,1.45627
1244.662986,8.92877,5.22732,1244.662742,0.672713,1.43321
1244.667132,0.61748,5.17822,1244.666888,-1.49092,1.41562
1244.671279,7.85778,5.12453,1244.671034,-0.567553,1.40551
1244.675425,11.2759,5.08106,1244.675181,1.18778,1.39742
1244.679571,10.6664,5.04912,1244.679327,0.5003,1.38654
1244.683718,22.1564,5.00762,1244.683473,-0.23664,1.37666
1244.687864,21.6912,4.93583,1244.68762,0.593588,1.3587
1244.69201,17.7128,4.85025,1244.691766,0.810575,1.33811
1244.696157,14.1082,4.79891,1244.695912,-0.148072,1.32264
1244.700303,12.0925,4.76601,1244.700059,-1.21711,1.31314
1244.704449,10.6989,4.74101,1244.704205,-0.0447084,1.30501
1244.708596,13.7718,4.72778,1244.708351,0.546321,1.29826
1244.712742,9.14024,4.71627,1244.712498,0.162599,1.29457
1244.716888,5.9754,4.71743,1244.716644,-0.30295,1.29398
1244.721035,14.3533,4.74103,1244.72079,-1.0034,1.29776
1244.725181,11.883,4.7375,1244.724937,-0.826049,1.30062
1244.729327,11.0848,4.77363,1244.729083,0.373604,1.31272
1244.733474,13.2619,4.81614,1244.733229,0.3608,1.32356
1244.73762,17.7216,4.88991,1244.737376,2.13512,1.34287
1244.741766,9.03831,4.95539,1244.741522,0.249241,1.36468
1244.745913,13.0382,5.06718,1244.745668,0.945187,1.38856
1244.750059,12.2651,5.18214,1244.749815,0.975607,1.42001
1244.754205,13.9335,5.29354,1244.753961,1.92571,1.45981
1244.758352,12.9877,5.51543,1244.758107,1.04085,1.50593
1244.762498,12.3361,5.68036,1244.762254,-0.0860139,1.55753
1244.766644,11.9819,5.89339,1244.7664,-1.27138,1.61754
1244.770791,6.61076,6.11516,1244.770546,-0.534213,1.68324
1244.774937,8.71069,6.35263,1244.774693,0.676263,1.75398
1244.779083,4.89502,6.62631,1244.778839,3.06282,1.83016
1244.78323,7.12413,6.88788,1244.782985,2.51553,1.90845
1244.787376,7.09482,7.09414,1244.787132,2.16786,1.97921
1244.791522,17.6279,7.26152,1244.791278,2.43494,2.03368
1244.795669,30.7949,7.35288,1244.795424,3.4273,2.06533
1244.799815,24.1301,7.43915,1244.799571,-0.352023,2.09319
1244.803961,15.8283,7.43241,1244.803717,1.15173,2.10503
1244.808108,8.61823,7.37726,1244.807863,3.36213,2.0949
1244.812254,18.2249,7.26288,1244.81201,3.0163,2.06247
1244.8164,25.1065,7.03671,1244.816156,1.98074,2.0005
1244.820547,28.2377,6.72064,1244.820302,-0.89998,1.91982
1244.824693,15.966,6.36577,1244.824449,2.47686,1.82852
1244.828839,18.5126,6.07226,1244.828595,1.26135,1.72984
1244.832986,20.8473,5.75107,1244.832741,1.08708,1.63697
